Advertising Budget (USD),Store Size (sq. ft.),Customer Reviews (out of 5),"Seasonality (0=Off, 1=Peak)",Sales (USD)
7803.532317523569,2271.3598412484894,2.494563273866794,1,6323.997925129824
19038.928974993367,2630.4604671875964,2.331648384925613,1,6492.09794866418
14773.881865322399,4345.463269409811,1.7046156500114402,0,5701.577354867274
12173.840441842214,2030.0197372695147,3.4290666804059518,1,10990.235217600075
3542.363488627512,4413.423581654771,2.9064966420345155,0,7059.051462854113
3541.8931465559517,896.6049393951117,4.462803969296015,1,9768.737395727112
1632.6304372798895,3995.5929674388385,1.128438321928233,1,6865.820945633004
17390.434842611237,4313.964348746314,3.5754717102205054,1,8996.889608015417
12221.74272899257,1318.1794377680244,4.051795514046244,0,4115.081833021215
14307.415267022887,2436.5593956749017,4.037946276753228,0,2718.274363063134
901.3976387681478,1244.7489859864504,4.5442958683821,1,9782.28111188894
19413.24211715889,3679.7185804739797,3.9161349713179763,1,8381.898259013005
16732.631495608224,2909.064956277455,4.711240246590785,0,6489.870964825151
4640.612658226385,3358.955060187445,2.330626399283566,0,2969.8565713590533
4045.586860538462,1384.1913513029501,3.0128376670061723,0,3818.1649244105984
4076.3879421419592,1452.8563792358877,1.0563186531315627,1,9639.455057203832
6432.723737710986,686.7379647945786,1.0278303492131649,0,1287.7653958634237
10732.750416828638,1949.3039083807837,1.9605064818060796,0,4049.5840865219834
8922.927863521258,3018.850976001537,1.403228788556341,0,6012.771129423598
6178.968233861818,4360.70711298798,2.0408454717430144,0,5050.242164285961
12431.1314470864,3501.1735135640633,1.7081731781135896,0,4706.09261764888
3220.1302827148156,2459.2834552988816,1.114080099354593,0,710.8958515553112
6196.820646436754,4789.04051477362,4.637216585624198,0,5502.1245393771005
7644.055944226988,3736.603402591243,1.032892525555566,1,3853.274806758857
9393.3646922322,4685.743412881475,3.9443285773483416,0,5505.540482146411
15810.931247163766,2874.1458797247456,1.6085915476780661,1,8005.541382858432
4393.638752088014,1665.0692365691282,4.6489184879984,1,9948.672060646546
10527.571549065426,737.7200886412489,4.571183758359544,0,7166.70631407136
12052.084092809828,3767.381831677327,3.6156045854770293,1,6878.006781902274
1405.7830480399557,1045.8634910249034,3.6889365992024206,1,12049.86872374561
12347.124612078049,1862.4880772238523,1.0213565678787542,0,3479.491935907701
3825.220411902185,2896.119085477538,4.939486264454408,1,10047.401707455121
1768.5060632129505,3039.8746450088647,4.5113304143032575,0,4363.094034729295
19003.267976439998,3202.624386442112,4.5804249029203685,0,6555.863219968399
19329.824644953907,1248.148986573653,3.6369781482034877,0,7670.134824310215
16263.748288270992,2208.8183216974194,2.379147714618146,0,3439.7269328456655
6439.9684988807285,3277.3740220263503,4.574594596361923,0,5250.202305704938
2404.6062231244855,4864.1848908520315,2.1660677126047694,0,2419.818676829777
13842.54401698706,3774.3401196485993,3.2508461733688114,0,7582.508402014082
9082.973627922225,4651.71690692281,1.3989238893755296,1,6208.340703036049
2879.7455794731873,3929.9542624137966,4.687822520531,0,4851.393687514793
10155.949747169769,3162.726360015802,1.5630818310848533,1,10061.005154165647
1170.5761617467588,1364.1051611135504,1.899587222921629,0,2279.419801456965
18231.74784053625,3500.085433516309,3.23253663251286,0,6488.243453301044
5546.20964120033,3305.208046819582,4.056372000851926,0,2577.226530042417
13419.184544902648,3211.111267057699,3.477405223745196,1,8802.001633074453
6578.365983743513,2704.0364059470835,1.9285356512006246,1,10280.4027553872
10641.326412967312,2878.9547179517403,1.0037721701099613,1,5240.738153590271
11160.850447193952,2004.9913720314682,4.028602321229757,1,9324.146591490668
4104.661882747778,2836.9071168903643,4.9408293036443744,1,10716.171001902527
19406.900241408894,1389.0015755531522,4.239652481224361,1,8259.468488819897
15615.090055541734,4123.284788121695,2.8408264726264614,0,2876.4264339221877
18820.22936050169,1335.9962961441852,4.615069045596426,0,5808.073803195675
17949.133333339152,882.3483045025989,2.6393906924734,1,8647.85779355433
12159.04958681616,2463.107118607208,3.09973633697387,1,11317.655000361094
18476.547582950778,3462.383477777278,2.908519069582733,1,11984.508507950326
2225.60379001243,2469.725712200936,2.7904954906621,1,6239.0004504049175
4321.665817173332,1745.3935937808888,4.100763077175623,1,9574.291278244886
1381.9321337554923,3011.7703275069834,3.107075629077968,0,4584.904259165414
6843.941449883655,2061.5105093549,2.2668684881008643,0,5682.99070238054
8079.207148944899,4697.904605569849,2.0326326706339133,0,3967.531714826814
